"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"11/22/2025 22:57:34","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","31.134.11.128","61397","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","60","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:31.134.11.128 Country Name:Seychelles",""
"11/22/2025 23:00:30","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X1","WAN","35.240.61.240","48586","","","","","74.95.21.115","80","","","","","tcp","","","1460","","Default Access Rule_16","3","","","","","","","","","","","General HTTP MGMT","drop","","","Initiator from country blocked: Initiator IP:35.240.61.240 Country Name:Belgium",""
"11/22/2025 23:07:58","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","81.213.109.126","44154","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","46","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:81.213.109.126 Country Name:Turkey",""
"11/22/2025 23:19:06","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","31.134.7.132","18705","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","60","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:31.134.7.132 Country Name:Seychelles",""
"11/22/2025 23:30:44","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50281","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/22/2025 23:31:44","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50291","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/22/2025 23:33:26","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50309","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/22/2025 23:35:07","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","195.178.110.136","40515","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","46","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:195.178.110.136 Country Name:Bulgaria",""
"11/22/2025 23:35:20","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50328","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/22/2025 23:38:29","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50364","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
