"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"09/05/2025 06:01:44","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","abhishikt","0s"," ","","","","","","","","","NA","","abhishikt via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:01:45","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hertha","0s"," ","","","","","","","","","NA","","hertha via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:01:46","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","elmo","0s"," ","","","","","","","","","NA","","elmo via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:01:47","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","iain","0s"," ","","","","","","","","","NA","","iain via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:01:48","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","abie","0s"," ","","","","","","","","","NA","","abie via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:01:49","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hettie","0s"," ","","","","","","","","","NA","","hettie via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:01:50","1200","Security Services","Botnet Filter","Botnet Initiator Blocked","Standard Message String","Alert","2048","A0:FF:70:C0:46:17","VANTIVA USA LLC","X1","WAN","18:C2:41:40:22:81","SONICWALL","X1","WAN","77.90.135.3","55916","","","","","50.247.194.233","80","","","","","tcp","","","467","","Default Access Rule_20","4","","","","","","","","","","","General HTTP MGMT","drop","","","Suspected Botnet initiator blocked: Initiator IP:77.90.135.3",""
"09/05/2025 06:01:51","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","ian","0s"," ","","","","","","","","","NA","","ian via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:01:52","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","eloise","0s"," ","","","","","","","","","NA","","eloise via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:01:52","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","abigail","0s"," ","","","","","","","","","NA","","abigail via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
